RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       308308     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.566D+00  4.603D+02
    1    2     1     0  ---    0  8.7D-03  1.0D+00  1.162D+00  3.610D+02
    2    3     0     0  con    0  1.0D+00  2.6D+00  2.821D-01  2.424D+02
    3    4     0     0  con    0  1.0D+00  9.4D-01  2.345D-01  2.277D+02
    4    5     0     0  con    0  1.0D+00  1.8D+00  2.190D-01  2.124D+02
    5    6     0     0  con    0  1.0D+00  2.8D+00  1.955D-01  1.960D+02
    6    7     0     0  con    0  1.0D+00  9.5D+00  2.543D-01  1.524D+02
    7    8     0     0  con    0  1.0D+00  2.2D+01  5.292D-01  1.480D+02
    8    9     0     0  con    0  1.0D+00  2.3D+00  1.620D-01  1.191D+02
    9   10     0     0  con    0  1.0D+00  1.8D+00  1.031D-01  1.136D+02
   10   11     0     0  con    0  1.0D+00  7.5D+00  2.237D-01  1.047D+02
   11   12     0     0  con    0  1.0D+00  8.9D+00  9.402D-02  9.876D+01
   12   13     0     0  con    0  1.0D+00  1.1D+01  1.834D-01  9.462D+01
   13   14     0     0  con    0  1.0D+00  6.5D+00  1.643D-01  9.263D+01
   14   15     0     0  con    0  1.0D+00  2.3D+00  8.253D-02  9.169D+01
   15   16     0     0  con    0  1.0D+00  3.6D+00  1.269D-01  9.100D+01
   16   17     0     0  con    0  1.0D+00  6.6D-01  5.820D-02  9.057D+01
   17   18     0     0  con    0  1.0D+00  6.5D-01  8.510D-02  9.024D+01
   18   19     0     0  con    0  1.0D+00  1.7D+00  6.875D-02  8.971D+01
   19   20     0     0  con    0  1.0D+00  1.4D+00  1.469D-01  8.922D+01
   20   21     0     0  con    0  1.0D+00  1.6D+00  6.660D-02  8.867D+01
   21   22     0     0  con    0  1.0D+00  2.0D+00  8.273D-02  8.809D+01
   22   23     0     0  con    0  1.0D+00  2.1D+00  1.067D-01  8.758D+01
   23   24     0     0  con    0  1.0D+00  1.4D+00  5.546D-02  8.706D+01
   24   25     0     0  con    0  1.0D+00  2.6D+00  2.078D-01  8.670D+01
   25   26     0     0  con    0  1.0D+00  9.8D-01  8.219D-02  8.631D+01
   26   27     0     0  con    0  1.0D+00  1.7D+00  4.099D-02  8.594D+01
   27   28     0     0  con    0  1.0D+00  1.8D+00  4.580D-02  8.551D+01
   28   29     0     0  con    0  1.0D+00  2.9D+00  5.850D-02  8.488D+01
   29   30     0     0  con    0  1.0D+00  3.1D+00  9.755D-02  8.442D+01
   30   31     0     0  con    0  1.0D+00  2.0D+00  5.404D-02  8.388D+01
   31   33     0     0  con    1  4.5D-01  8.2D-01  6.078D-02  8.356D+01
   32   34     0     0  con    0  1.0D+00  1.2D+00  4.810D-02  8.325D+01
   33   35     0     0  con    0  1.0D+00  2.1D+00  5.767D-02  8.290D+01
   34   36     0     0  con    0  1.0D+00  1.2D+00  7.308D-02  8.263D+01
   35   37     0     0  con    0  1.0D+00  1.4D+00  6.087D-02  8.227D+01
   36   38     0     0  con    0  1.0D+00  2.9D+00  1.069D-01  8.182D+01
   37   39     0     0  con    0  1.0D+00  1.7D+00  5.692D-02  8.144D+01
   38   40     0     0  con    0  1.0D+00  1.3D+00  4.519D-02  8.114D+01
   39   41     0     0  con    0  1.0D+00  1.5D+00  4.981D-02  8.084D+01
   40   42     0     0  con    0  1.0D+00  1.5D+00  5.281D-02  8.065D+01
   41   43     0     0  con    0  1.0D+00  5.8D-01  3.284D-02  8.046D+01
   42   44     0     0  con    0  1.0D+00  1.4D+00  3.139D-02  8.029D+01
   43   45     0     0  con    0  1.0D+00  1.1D+00  2.960D-02  8.006D+01
   44   46     0     0  con    0  1.0D+00  2.3D+00  3.615D-02  7.977D+01
   45   47     0     0  con    0  1.0D+00  1.9D+00  6.393D-02  7.949D+01
   46   48     0     0  con    0  1.0D+00  8.7D-01  2.667D-02  7.929D+01
   47   49     0     0  con    0  1.0D+00  9.9D-01  2.946D-02  7.908D+01
   48   50     0     0  con    0  1.0D+00  2.3D+00  5.296D-02  7.877D+01
   49   51     0     0  con    0  1.0D+00  2.2D+00  6.972D-02  7.855D+01
   50   52     0     0  con    0  1.0D+00  6.8D-01  2.695D-02  7.836D+01
   51   53     0     0  con    0  1.0D+00  1.5D+00  2.838D-02  7.815D+01
   52   54     0     0  con    0  1.0D+00  1.6D+00  3.415D-02  7.797D+01
