RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  308308    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.583E+00  3.107E+02
    1    2     1     0  ---    0  1.5E-02  1.0E+00  1.317E+00  2.517E+02
    2    3     0     0  con    0  1.0E+00  7.5E+00  9.703E-02  8.289E+01
    3    4     0     0  con    0  1.0E+00  6.7E-01  9.448E-02  7.998E+01
    4    5     0     0  con    0  1.0E+00  8.5E+00  2.046E-01  5.687E+01
    5    6     0     0  con    0  1.0E+00  1.2E+01  3.119E-01  4.489E+01
    6    7     0     0  con    0  1.0E+00  2.5E+00  1.275E-01  4.014E+01
    7    8     0     0  con    0  1.0E+00  1.4E+00  4.642E-02  3.964E+01
    8    9     0     0  con    0  1.0E+00  2.1E+00  6.945E-02  3.942E+01
    9   10     0     0  con    0  1.0E+00  9.6E-01  3.841E-02  3.936E+01
   10   11     0     0  con    0  1.0E+00  5.9E-01  3.092E-02  3.935E+01
   11   12     0     0  con    0  1.0E+00  1.0E-01  3.012E-02  3.930E+01
   12   13     0     0  con    0  1.0E+00  9.8E-02  1.785E-02  3.930E+01
   13   20     0     0  con    6  0.0E+00  0.0E+00  2.137E-02  3.930E+01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 7.860E+01 seconds.

    5  0.0E+00  0.0E+00  2.465E-02  3.924E+01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 4.104E+01 seconds.

    0  1.0E+00  4.1E+00  2.742E-01  3.775E+01
   18   20     0     0  con    0  1.0E+00  1.0E+01  2.126E-01  3.620E+01
   19   22     0     0  con    1  2.1E-01  1.7E+00  8.881E-02  3.584E+01
   20   23     0     0  con    0  1.0E+00  1.6E+00  6.414E-02  3.478E+01
   21   24     0     0  con    0  1.0E+00  3.1E+00  6.399E-02  3.457E+01
