RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  308308    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.574E+00  3.111E+02
    1    2     1     0  ---    0  1.5E-02  1.0E+00  1.323E+00  2.513E+02
    2    3     0     0  con    0  1.0E+00  5.1E+00  1.987E-01  9.358E+01
    3    4     0     0  con    0  1.0E+00  1.5E+00  9.427E-02  8.161E+01
    4    5     0     0  con    0  1.0E+00  1.8E+00  8.663E-02  7.434E+01
    5    6     0     0  con    0  1.0E+00  3.0E+00  8.333E-02  6.570E+01
    6    7     0     0  con    0  1.0E+00  7.8E+00  1.015E-01  4.859E+01
    7    9     0     0  con    1  3.7E-01  3.7E+00  1.384E-01  4.359E+01
    8   10     0     0  con    0  1.0E+00  4.5E+00  3.813E-02  4.025E+01
    9   11     0     0  con    0  1.0E+00  2.3E+00  6.517E-02  3.951E+01
   10   12     0     0  con    0  1.0E+00  4.7E+00  1.264E-01  3.925E+01
   11   13     0     0  con    0  1.0E+00  5.1E-01  3.012E-02  3.897E+01
   12   14     0     0  con    0  1.0E+00  1.0E-01  8.355E-03  3.895E+01
   13   15     0     0  con    0  1.0E+00  1.8E-01  2.707E-02  3.893E+01
   14   16     0     0  con    0  1.0E+00  9.2E-01  8.324E-02  3.885E+01
   15   17     0     0  con    0  1.0E+00  1.7E+00  1.512E-01  3.870E+01
   16   18     0     0  con    0  1.0E+00  3.1E+00  2.182E-01  3.845E+01
   17   19     0     0  con    0  1.0E+00  3.2E+00  2.253E-01  3.790E+01
   18   20     0     0  con    0  1.0E+00  1.5E+01  1.710E-01  3.654E+01
   19   22     0     0  con    1  4.4E-01  1.2E+00  1.027E-01  3.558E+01
   20   23     0     0  con    0  1.0E+00  9.9E-01  5.994E-02  3.478E+01
   21   24     0     0  con    0  1.0E+00  2.3E+00  6.053E-02  3.460E+01
   22   25     0     0  con    0  1.0E+00  2.7E+00  5.460E-02  3.432E+01
   23   26     0     0  con    0  1.0E+00  8.4E+00  8.304E-02  3.368E+01
   24   27     0     0  con    0  1.0E+00  4.2E+00  5.136E-02  3.307E+01
   25   28     0     0  con    0  1.0E+00  1.6E+00  2.844E-02  3.269E+01
   26   29     0     0  con    0  1.0E+00  2.4E+00  5.367E-02  3.239E+01
   27   30     0     0  con    0  1.0E+00  1.9E+00  3.276E-02  3.218E+01
   28   31     0     0  con    0  1.0E+00  2.7E+00  1.982E-02  3.195E+01
   29   32     0     0  con    0  1.0E+00  4.0E+00  1.279E-01  3.181E+01
   30   33     0     0  con    0  1.0E+00  1.4E+00  1.818E-02  3.155E+01
   31   34     0     0  con    0  1.0E+00  1.8E+00  2.652E-02  3.138E+01
   32   35     0     0  con    0  1.0E+00  1.6E+00  5.401E-02  3.125E+01
   33   36     0     0  con    0  1.0E+00  1.8E+00  2.813E-02  3.107E+01
   34   37     0     0  con    0  1.0E+00  2.1E+00  4.807E-02  3.085E+01
   35   38     0     0  con    0  1.0E+00  3.7E+00  8.592E-02  3.064E+01
   36   41     0     0  con    0  1.0E+00  3.8E+00  7.701E-02  3.071E+01
   37   42     0     0  con    0  1.0E+00  1.8E+00  3.274E-02  3.059E+01
   38   43     0     0  con    0  1.0E+00  1.1E+00  1.695E-02  3.051E+01
   39   44     0     0  con    0  1.0E+00  2.2E+00  2.093E-02  3.044E+01
   40   45     0     0  con    0  1.0E+00  6.3E-01  4.288E-02  3.042E+01
   41   46     0     0  con    0  1.0E+00  1.8E-01  2.027E-02  3.040E+01
   42   47     0     0  con    0  1.0E+00  7.3E-01  2.180E-02  3.033E+01
   43   48     0     0  con    0  1.0E+00  8.7E-01  3.595E-02  3.028E+01
